name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,product_id
"AIR-ROMA Combo of 2 Air Freshener Spray, Fragrance- Rose Original & Jasmine Flower (400ml)",home & kitchen,Home Décor,https://m.media-amazon.com/images/I/51uuN7mA7+L._AC_UL320_.jpg,https://www.amazon.in/AirRoma-Original-Fragrance-Freshener-Jasmine/dp/B078YTGG8P/ref=sr_1_1372?qid=1679213443&s=kitchen&sr=1-1372,3.9,169,₹279,₹498,5120
"Decals Design 'Green Autumn Leaves Branch' Wall Sticker (PVC Vinyl, 50 cm x 70 cm, Green)",home & kitchen,Home Décor,https://m.media-amazon.com/images/I/51WytrjUnCL._AC_UL320_.jpg,https://www.amazon.in/Decals-Design-Autumn-Leaves-Sticker/dp/B019T1CNSW/ref=sr_1_1373?qid=1679213443&s=kitchen&sr=1-1373,4.1,"2,446",₹129,₹664,5121
3V PRODUCTS: Dasangam Powder 50g | Bhuvaneswari Dasangam Dhoop Powder for Pooja & Home,home & kitchen,Home Décor,https://m.media-amazon.com/images/I/91+zdc8GDDL._AC_UL320_.jpg,https://www.amazon.in/3V-PRODUCTS-Dasangam-Powder-Bhuvaneswari/dp/B09H4RD67X/ref=sr_1_1374?qid=1679213443&s=kitchen&sr=1-1374,4.1,39,₹87,₹110,5122
Baburao Fridge Magnet- Pack of 1 Bollywood Theme Fridge Magnets,home & kitchen,Home Décor,https://m.media-amazon.com/images/I/51mvpy6v9rL._AC_UL320_.jpg,https://www.amazon.in/Baburao-Fridge-Magnet-Bollywood-Magnets/dp/B0B9L31C32/ref=sr_1_1375?qid=1679213443&s=kitchen&sr=1-1375,4.5,76,₹135,₹399,5123
HOKIPO® Eco-Friendly Bamboo Wooden Coasters for Home Pan Pot Holder for Dining Table Heat Pad for Kitchen - Pack of 4 (AR2...,home & kitchen,Home Décor,https://m.media-amazon.com/images/I/817QGF--OvL._AC_UL320_.jpg,https://www.amazon.in/HOKIPO%C2%AE-Eco-Friendly-Bamboo-Coasters-Kitchen/dp/B085LCFDDN/ref=sr_1_1376?qid=1679213443&s=kitchen&sr=1-1376,4.0,321,₹279,₹449,5124
"DESHABOINA VN Plastic Nazar Suraksha Kawach, Evil Eye Protector, Drishti Bommai, Nazar Battu (Large) for House, Office, Sh...",home & kitchen,Home Décor,https://m.media-amazon.com/images/I/71DwMZMNJjL._AC_UL320_.jpg,https://www.amazon.in/DESHABOINA-Plastic-Suraksha-Protector-Multicolor/dp/B098FBWFC5/ref=sr_1_1377_mod_primary_new?qid=1679213443&s=kitchen&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1377,3.9,100,₹192,₹599,5125
"Litleo Artificial Flowers with Wooden Pot (Yellow, 2 Piece)",home & kitchen,Home Décor,https://m.media-amazon.com/images/I/81gcdNOfE+S._AC_UL320_.jpg,https://www.amazon.in/Litleo-Decoration-Birthday-Sunflower-Artificial/dp/B07ZT3TBT4/ref=sr_1_1378?qid=1679213443&s=kitchen&sr=1-1378,3.8,304,₹269,₹549,5126
"Pure Source India Aroma Essential Oils 9 Fragrances In 1 Pack, 10 Ml Each, (Fragrances: Lemon Grass, Lavender, Jasmine, Ro...",home & kitchen,Home Décor,https://m.media-amazon.com/images/I/91j6dTfEGnL._AC_UL320_.jpg,https://www.amazon.in/Pure-Source-India-Citronella-Eucalyptus/dp/B01FG3PZOG/ref=sr_1_1379?qid=1679213443&s=kitchen&sr=1-1379,4.0,"1,870",₹549,₹999,5127
Borosil Medium Brass Diffuser (Multicolour) (HDDBBSP0100),home & kitchen,Home Décor,https://m.media-amazon.com/images/I/6108lemNjyL._AC_UL320_.jpg,https://www.amazon.in/Borosil-Medium-Brass-Diffuser-Multicolour/dp/B00EZMNISK/ref=sr_1_1380?qid=1679213443&s=kitchen&sr=1-1380,4.2,972,₹846,₹995,5128
TIED RIBBONS Green Ficus Artificial Plant with Pot Stand (1 Feet) Natural Looking Artificial Plants for Home Decor Living ...,home & kitchen,Home Décor,https://m.media-amazon.com/images/I/71j2Td5nHLL._AC_UL320_.jpg,https://www.amazon.in/TIED-RIBBONS-Artificial-Natural-Decoration/dp/B0BT7WXS46/ref=sr_1_1381?qid=1679213443&s=kitchen&sr=1-1381,Get,FREE Delivery by Amazon,₹549,"₹1,749",5129
